title,link,price,booking_date,star,cities,source
台灣嘉義｜三隻小豬觀光農場門票｜KKday 獨家優惠,https://www.kkday.com/zh-tw/product/116083,50,20220306,4.78,"[{'id': 'A01-001-00014', 'name': '嘉義'}]",KKday
六福村主題樂園門票＆接駁｜台北出發,https://www.kkday.com/zh-tw/product/27886,850,20220307,4.64,"[{'id': 'A01-001-00001', 'name': '台北'}, {'id': 'A01-001-00009', 'name': '新竹'}]",KKday
台灣烏來｜烏來台車單程乘車券｜平假日均可使用,https://www.kkday.com/zh-tw/product/100493,50,20220307,4.88,"[{'id': 'A01-001-00006', 'name': '新北市'}]",KKday
【獨家72折】2022櫻花季｜武陵農場門票,https://www.kkday.com/zh-tw/product/116890,115,20220306,4.84,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
【買一送一】台灣台中｜大雪山國家森林遊樂區門票｜平假日均可使用,https://www.kkday.com/zh-tw/product/100561,150,20220307,4.9,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
台北西湖射箭場｜室外射箭體驗｜全明星運動會紅藍隊練習場,https://www.kkday.com/zh-tw/product/100111,500,20220309,4.73,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
KKday線上獨家｜彰化今夜星辰休閒農場｜入園門票,https://www.kkday.com/zh-tw/product/121932,190,20220306,4.44,"[{'id': 'A01-001-00011', 'name': '彰化'}]",KKday
【KKday獨家】台灣桃園｜巧虎夢想樂園門票,https://www.kkday.com/zh-tw/product/115196,150,20220306,4.7,"[{'id': 'A01-001-00008', 'name': '桃園'}]",KKday
台灣花蓮｜山度空間門票｜KKday 獨家優惠,https://www.kkday.com/zh-tw/product/117024,45,20220306,4.67,"[{'id': 'A01-001-00005', 'name': '花蓮'}]",KKday
【8折優惠】金山｜朱銘美術館門票,https://www.kkday.com/zh-tw/product/30550,280,20220308,4.76,"[{'id': 'A01-001-00006', 'name': '新北市'}]",KKday
限時優惠77折｜高雄義大遊樂世界超值入園方案 E-DA THEME PARK｜親子＆雙人入園方案,https://www.kkday.com/zh-tw/product/8700,1220,20220306,4.53,"[{'id': 'A01-001-00004', 'name': '高雄'}]",KKday
【KKday專屬優惠】桃園大溪｜富田花園農場雙人門票,https://www.kkday.com/zh-tw/product/119308,275,20220307,4.52,"[{'id': 'A01-001-00008', 'name': '桃園'}]",KKday
宜蘭｜綠舞日式主題園區｜門票・DIY＋飲料・浴衣/抹茶體驗任選,https://www.kkday.com/zh-tw/product/35648,285,20220307,4.86,"[{'id': 'A01-001-00017', 'name': '宜蘭'}]",KKday
新北｜三峽大板根森林遊園門票｜台灣唯一僅存低海拔原生亞熱帶雨林,https://www.kkday.com/zh-tw/product/23459,409,20220307,4.62,"[{'id': 'A01-001-00006', 'name': '新北市'}]",KKday
宜蘭蘇澳 | 線上優惠79折 | 宜蘭綺麗觀光園區優惠門票,https://www.kkday.com/zh-tw/product/101744,220,20220306,4.35,"[{'id': 'A01-001-00017', 'name': '宜蘭'}]",KKday
【高鐵票 75 折優惠】高鐵國旅聯票單程車票＆屏東國立海洋生物博物館門票,https://www.kkday.com/zh-tw/product/118926,565,20220306,4.8,"[{'id': 'A01-001-00016', 'name': '墾丁'}, {'id': 'A01-001-00015', 'name': '屏東'}]",KKday
台灣新竹  | 薰衣草森林入園券,https://www.kkday.com/zh-tw/product/101859,135,20220306,4.72,"[{'id': 'A01-001-00009', 'name': '新竹'}]",KKday
台灣高雄｜駁二店 Wooderful life 木育森林門票＆音樂鈴手作 DIY 體驗,https://www.kkday.com/zh-tw/product/103802,280,20220308,4.9,"[{'id': 'A01-001-00004', 'name': '高雄'}]",KKday
【限時優惠】台中西區｜幻覺博物館門票 Museum of Illusions｜室內必玩,https://www.kkday.com/zh-tw/product/102011,380,20220306,4.73,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
【全台獨家】林獻堂先生環球遊記音樂會門票｜台中霧峰林獻堂博物館園區門票,https://www.kkday.com/zh-tw/product/119422,95,20220306,5,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
